decay,Accuracy,Kappa,AccuracySD,KappaSD
0,0.43515623678353343,0.09726692434908187,0.018849570310239698,0.02706362090488476
1e-4,0.43515623678353343,0.09726692434908187,0.018849570310239698,0.02706362090488476
0.001,0.43515623678353343,0.09726692434908187,0.018849570310239698,0.02706362090488476
0.01,0.43515623678353343,0.09726692434908187,0.018849570310239698,0.02706362090488476
0.1,0.43538120866204855,0.09761047695654615,0.01865636473081602,0.02666403959107797
